loan_amount,loan_term,interest_rate,annual_income,debt_to_income_ratio,credit_score,employment_length,num_credit_lines,num_derogatory_marks,home_ownership,loan_purpose,verification_status,default
22561.17,60,24.65,56513.58,58.46,406,24.7,21,1,MORTGAGE,debt_consolidation,Source Verified,0
97110.54,48,19.75,199697.38,2.78,667,15.1,28,2,MORTGAGE,debt_consolidation,Verified,0
78637.62,24,5.16,117445.27,21.35,351,26.6,20,1,MORTGAGE,debt_consolidation,Source Verified,0
94252.4,12,24.31,71130.51,12.77,579,26.6,22,1,RENT,other,Not Verified,0
90008.6,12,22.56,199059.49,45.36,389,0.7,7,7,MORTGAGE,other,Verified,1
61800.5,12,20.38,193980.61,38.41,529,11.5,9,0,RENT,debt_consolidation,Verified,0
92578.05,60,24.01,99333.03,7.19,758,15.8,17,0,RENT,debt_consolidation,Source Verified,0
13406.79,60,17.82,66872.56,29.01,843,20.4,27,5,RENT,debt_consolidation,Source Verified,0
23618.37,24,22.6,170911.93,41.13,475,8.6,10,2,MORTGAGE,debt_consolidation,Verified,0
9296.59,48,28.38,148811.73,46.74,593,7.6,4,0,MORTGAGE,car,Source Verified,0
35906.38,24,14.4,143649.46,1.2,581,11.4,22,7,RENT,debt_consolidation,Not Verified,0
41924.34,36,22.7,180760.47,53.43,825,15.0,26,0,RENT,car,Verified,0
30778.16,12,16.89,144095.08,34.16,563,28.5,7,0,MORTGAGE,car,Source Verified,0
83730.06,12,21.86,71083.63,48.71,685,22.9,7,1,MORTGAGE,home_improvement,Verified,0
38891.57,12,24.07,144895.37,48.48,807,12.9,8,0,RENT,car,Source Verified,0
31688.78,24,6.14,75046.43,11.39,505,1.6,30,1,MORTGAGE,debt_consolidation,Source Verified,0
56556.13,24,21.17,156663.02,6.61,796,5.1,26,0,RENT,debt_consolidation,Source Verified,0
18387.8,12,10.67,131554.61,43.28,805,13.7,24,0,MORTGAGE,car,Source Verified,0
81208.71,24,21.75,33934.08,9.39,812,24.4,24,1,RENT,debt_consolidation,Verified,0
12082.31,60,16.71,112310.37,51.0,449,11.4,8,1,RENT,debt_consolidation,Not Verified,0
98754.26,60,24.34,81794.17,43.57,520,16.2,16,0,MORTGAGE,other,Source Verified,0
78363.25,24,8.09,79142.71,50.51,779,26.8,12,6,MORTGAGE,home_improvement,Verified,0
23877.99,12,20.66,128406.13,17.94,498,27.4,15,1,RENT,debt_consolidation,Not Verified,0
5524.6,24,11.96,78018.47,19.0,630,6.5,8,0,RENT,car,Verified,0
82468.84,24,26.32,159840.87,40.27,365,1.3,22,0,RENT,debt_consolidation,Not Verified,0
72151.45,24,28.21,32742.46,1.89,331,9.2,9,2,RENT,other,Source Verified,1
74255.68,36,29.91,138869.89,43.59,527,20.9,3,1,MORTGAGE,debt_consolidation,Source Verified,1
78270.68,60,24.9,165655.06,50.15,618,28.5,22,0,RENT,home_improvement,Verified,0
12034.24,48,23.84,141109.7,24.91,516,2.3,21,0,MORTGAGE,car,Verified,0
39054.24,48,10.39,109501.26,45.89,618,0.9,16,0,RENT,home_improvement,Verified,0
16007.56,36,13.4,191055.26,10.48,583,26.5,15,0,MORTGAGE,car,Not Verified,0
86994.83,24,16.64,73988.93,19.34,677,22.4,24,1,RENT,other,Not Verified,0
64213.32,36,24.33,23450.22,58.46,657,29.8,4,4,OWN,car,Source Verified,1
36435.31,36,27.87,97758.09,59.18,533,11.9,20,0,OWN,debt_consolidation,Not Verified,1
11038.04,12,9.73,25942.15,30.76,534,12.5,29,3,MORTGAGE,home_improvement,Not Verified,0
34543.32,60,28.06,191708.62,56.06,377,5.2,16,4,RENT,other,Source Verified,1
35892.42,48,22.39,57785.25,31.36,582,3.5,10,4,OWN,debt_consolidation,Source Verified,1
74312.59,24,20.27,162006.86,17.5,623,17.4,11,5,MORTGAGE,home_improvement,Verified,0
65567.96,48,10.0,159422.97,16.01,562,10.9,26,3,MORTGAGE,home_improvement,Not Verified,0
89285.21,48,6.39,59191.2,55.77,479,2.4,29,1,MORTGAGE,debt_consolidation,Not Verified,1
49860.42,60,19.21,131820.78,10.35,697,26.6,5,0,RENT,debt_consolidation,Verified,0
16361.45,48,21.29,28654.21,34.78,341,6.0,11,1,RENT,other,Source Verified,1
72758.25,48,10.27,107043.43,33.33,803,22.5,29,3,MORTGAGE,home_improvement,Not Verified,0
77274.58,36,18.91,22636.48,44.38,311,8.5,13,0,RENT,debt_consolidation,Verified,1
58321.33,60,26.41,185805.9,29.95,829,24.4,15,0,RENT,other,Source Verified,0
78241.88,12,25.88,195695.48,16.34,554,3.6,6,0,RENT,home_improvement,Verified,0
51910.58,24,28.18,60010.9,10.16,527,22.7,16,2,MORTGAGE,car,Source Verified,0
54659.62,48,14.15,57459.09,37.25,441,2.9,15,2,RENT,debt_consolidation,Verified,0
45616.4,24,12.95,155669.63,43.14,306,13.4,11,1,MORTGAGE,other,Verified,0
7414.82,12,23.74,65608.29,34.17,451,22.0,20,0,RENT,home_improvement,Verified,0
15249.69,24,15.78,181113.78,44.3,360,5.2,2,1,MORTGAGE,car,Not Verified,0
7985.77,12,7.19,123307.24,8.49,663,8.6,28,0,MORTGAGE,debt_consolidation,Source Verified,0
65458.99,36,12.07,83139.97,52.95,475,25.9,28,1,RENT,debt_consolidation,Source Verified,1
34863.82,48,15.46,169884.87,34.94,722,26.6,30,0,RENT,debt_consolidation,Source Verified,0
53314.22,12,12.31,108813.21,7.61,414,1.3,2,6,MORTGAGE,other,Verified,0
91218.82,24,13.31,184093.92,27.72,795,5.0,12,1,RENT,debt_consolidation,Not Verified,0
28682.76,48,12.34,187042.56,50.69,588,3.5,16,1,MORTGAGE,car,Not Verified,0
43986.38,36,6.04,49775.63,53.85,363,5.4,19,2,MORTGAGE,debt_consolidation,Source Verified,1
76777.36,48,20.93,20418.21,15.88,520,29.1,2,1,MORTGAGE,debt_consolidation,Source Verified,1
26735.83,12,19.93,197107.57,42.68,414,16.5,17,0,RENT,debt_consolidation,Source Verified,0
12313.09,36,21.33,183104.76,6.0,410,14.0,14,1,RENT,car,Verified,0
32526.39,24,9.81,29980.14,2.01,579,29.5,24,5,MORTGAGE,car,Verified,0
20316.02,36,12.39,169946.17,33.62,670,16.7,28,0,OWN,other,Source Verified,0
93321.28,36,20.49,102404.89,41.69,801,19.8,16,1,MORTGAGE,other,Not Verified,0
81771.44,60,19.99,66613.09,47.75,576,10.0,5,6,MORTGAGE,debt_consolidation,Verified,1
65173.36,36,17.66,178174.37,20.41,831,11.5,10,2,OWN,car,Source Verified,0
87788.76,36,13.76,55400.1,0.39,818,17.8,17,1,OWN,home_improvement,Verified,0
81348.85,48,27.82,190514.0,28.77,776,2.1,13,2,RENT,other,Verified,0
22724.16,24,13.49,57011.87,0.95,575,7.7,16,4,MORTGAGE,debt_consolidation,Source Verified,0
89793.1,48,16.39,130462.97,5.52,377,5.9,9,5,RENT,car,Verified,1
56237.51,48,21.95,60155.54,19.6,420,0.5,24,6,RENT,debt_consolidation,Not Verified,1
81706.81,12,18.58,118220.36,26.23,656,16.1,4,1,MORTGAGE,debt_consolidation,Source Verified,0
90128.67,48,13.67,143115.52,16.77,532,16.8,24,0,RENT,debt_consolidation,Verified,0
35210.33,60,15.89,54241.03,34.91,381,11.5,29,0,RENT,debt_consolidation,Source Verified,0
15454.93,60,24.86,113759.44,3.32,563,8.1,28,0,RENT,debt_consolidation,Not Verified,0
26653.84,12,11.95,104430.75,8.67,310,19.6,29,5,MORTGAGE,car,Verified,0
45575.24,24,8.56,32786.74,41.72,704,4.0,26,3,RENT,car,Source Verified,0
82711.4,24,12.83,167295.41,8.53,340,15.6,16,1,RENT,debt_consolidation,Not Verified,0
86769.41,48,26.24,80422.83,38.39,646,23.0,23,1,MORTGAGE,debt_consolidation,Verified,0
5660.45,48,7.22,123424.8,3.28,736,4.9,27,0,RENT,debt_consolidation,Not Verified,0
53520.99,48,29.79,112661.16,24.44,373,22.6,11,1,MORTGAGE,other,Verified,0
44654.05,24,18.53,112386.89,10.64,585,22.8,7,2,OWN,debt_consolidation,Verified,0
26100.24,36,29.62,39300.03,6.58,728,1.8,17,0,RENT,home_improvement,Source Verified,0
16387.21,60,28.47,96226.76,34.02,443,0.6,22,0,OWN,debt_consolidation,Verified,0
37073.44,36,16.32,101426.02,55.7,390,29.2,13,1,MORTGAGE,home_improvement,Source Verified,1
94576.42,36,9.96,152055.71,3.29,485,5.8,4,0,RENT,debt_consolidation,Source Verified,0
35704.28,24,9.12,171203.39,25.29,605,24.7,14,6,RENT,debt_consolidation,Verified,0
54285.11,36,11.0,118096.81,42.45,616,16.9,10,0,OWN,debt_consolidation,Not Verified,0
71786.8,12,22.75,35620.93,27.76,372,7.9,10,4,RENT,debt_consolidation,Source Verified,1
39544.81,48,11.82,62632.9,48.39,552,3.9,10,0,RENT,debt_consolidation,Source Verified,0
97319.3,12,13.54,49688.12,10.78,448,14.9,27,0,MORTGAGE,home_improvement,Source Verified,0
96432.49,60,16.22,42430.71,57.58,763,12.2,12,1,OWN,debt_consolidation,Verified,1
28919.32,48,27.83,85861.87,23.11,472,21.0,2,2,MORTGAGE,debt_consolidation,Not Verified,0
52238.61,36,9.73,61290.83,20.49,761,27.1,26,1,RENT,debt_consolidation,Not Verified,0
33583.44,60,5.13,59294.56,52.48,536,24.2,23,0,RENT,other,Verified,0
32059.85,48,6.5,29844.77,33.83,700,8.2,9,0,MORTGAGE,home_improvement,Source Verified,0
8504.26,36,27.62,23180.61,30.99,581,26.4,29,1,RENT,car,Source Verified,0
62908.61,12,21.19,38498.28,43.62,642,25.0,5,0,RENT,debt_consolidation,Verified,0
52754.51,48,11.83,50995.55,34.79,517,27.9,8,0,MORTGAGE,debt_consolidation,Not Verified,0
9890.48,36,9.43,97577.07,9.75,723,13.8,21,1,MORTGAGE,debt_consolidation,Verified,0
31471.41,12,12.36,111893.65,40.45,534,23.1,14,0,RENT,home_improvement,Verified,0
91285.26,60,7.87,45306.55,8.01,552,17.7,7,0,MORTGAGE,home_improvement,Verified,0
27758.38,60,28.54,96461.0,48.35,585,9.3,7,0,MORTGAGE,other,Source Verified,0
18765.01,60,24.61,81514.79,59.38,758,29.8,9,9,RENT,other,Verified,1
51498.01,60,16.56,53016.26,22.64,663,1.1,3,0,MORTGAGE,debt_consolidation,Not Verified,0
98636.79,24,26.62,21231.33,26.69,492,4.9,14,4,RENT,debt_consolidation,Not Verified,1
27995.25,48,11.24,104063.22,2.79,669,26.8,17,0,RENT,debt_consolidation,Verified,0
68852.88,48,22.93,143417.31,0.82,653,1.8,18,2,RENT,debt_consolidation,Not Verified,0
77353.86,24,26.4,60729.92,55.29,812,26.6,12,0,MORTGAGE,other,Source Verified,0
27575.57,36,13.92,43725.23,7.72,763,21.5,22,1,RENT,debt_consolidation,Verified,0
74180.55,36,23.94,179667.69,26.75,656,1.1,14,2,OWN,other,Verified,0
39939.4,60,12.38,69504.46,48.92,488,12.9,26,2,MORTGAGE,home_improvement,Verified,0
65069.05,12,12.47,60250.27,53.36,729,22.6,26,2,MORTGAGE,home_improvement,Verified,0
65185.32,36,7.68,174277.45,31.16,616,17.5,28,2,MORTGAGE,debt_consolidation,Not Verified,0
55898.59,12,16.0,167079.28,33.9,842,28.1,13,0,RENT,home_improvement,Source Verified,0
13577.53,48,23.24,100702.36,40.18,436,26.0,14,1,OWN,home_improvement,Not Verified,0
84353.74,12,28.51,108063.0,57.68,344,10.0,9,1,OWN,debt_consolidation,Not Verified,1
35474.11,48,20.09,59194.77,36.16,338,2.5,19,3,MORTGAGE,debt_consolidation,Verified,1
22719.26,24,26.58,34094.3,33.57,652,28.3,26,0,OWN,debt_consolidation,Not Verified,0
8873.64,24,25.56,123217.73,0.87,817,15.5,2,4,MORTGAGE,home_improvement,Verified,0
61134.83,60,9.33,37702.09,4.86,301,2.2,11,1,RENT,debt_consolidation,Verified,0
69368.61,36,17.15,100869.42,34.63,699,24.5,17,1,MORTGAGE,car,Source Verified,0
6575.84,60,7.92,189289.5,56.17,661,26.1,2,0,MORTGAGE,car,Verified,0
53648.84,48,22.05,191510.19,52.0,703,19.2,19,0,MORTGAGE,debt_consolidation,Verified,0
26517.1,60,28.75,63079.81,58.95,495,13.4,7,2,RENT,home_improvement,Source Verified,1
66291.42,12,8.43,132340.42,31.67,751,19.9,18,1,MORTGAGE,debt_consolidation,Not Verified,0
21564.81,48,23.35,105333.73,47.28,325,21.2,13,4,OWN,car,Verified,1
70639.09,24,20.81,177623.32,50.42,715,26.8,5,2,RENT,debt_consolidation,Verified,0
41739.86,36,19.59,68857.56,38.88,447,28.7,18,1,RENT,debt_consolidation,Source Verified,1
93989.35,48,14.75,20666.43,20.32,562,15.4,23,3,MORTGAGE,debt_consolidation,Source Verified,1
18064.49,48,13.88,49261.02,28.2,752,24.0,26,1,OWN,car,Verified,0
37401.3,12,6.13,82914.1,51.48,449,28.9,24,1,MORTGAGE,debt_consolidation,Not Verified,0
15779.98,36,10.45,76829.8,17.91,402,4.5,24,0,OWN,debt_consolidation,Source Verified,0
92845.89,24,5.38,162445.33,55.42,675,0.5,29,0,RENT,debt_consolidation,Source Verified,0
88347.24,48,19.54,142500.92,13.79,593,26.1,16,1,OWN,debt_consolidation,Not Verified,0
29504.45,48,7.65,73920.14,44.97,583,5.9,15,3,MORTGAGE,car,Not Verified,0
67698.48,12,26.83,102393.89,37.83,441,1.3,8,0,OWN,home_improvement,Verified,1
82636.11,60,18.08,37200.64,44.98,319,4.8,26,0,MORTGAGE,other,Verified,1
57744.08,24,22.49,181666.36,26.24,526,11.5,15,1,RENT,debt_consolidation,Not Verified,0
55316.8,36,15.27,188376.47,55.96,359,6.6,25,0,MORTGAGE,debt_consolidation,Not Verified,0
27975.97,48,19.01,196364.64,37.95,798,9.2,1,2,RENT,car,Source Verified,0
13844.76,48,28.57,176339.51,17.3,323,29.3,28,2,RENT,home_improvement,Source Verified,0
90235.5,24,7.07,51312.96,38.31,537,21.1,17,0,MORTGAGE,debt_consolidation,Source Verified,0
90539.72,60,11.35,28315.37,17.21,329,21.4,30,3,MORTGAGE,home_improvement,Verified,1
65144.64,48,24.5,124327.41,17.62,353,2.8,15,1,RENT,car,Not Verified,1
37207.83,24,7.47,184268.9,23.98,662,22.0,14,1,MORTGAGE,debt_consolidation,Source Verified,0
38174.91,12,6.89,51923.25,51.15,656,22.2,14,0,OWN,car,Not Verified,0
73965.79,60,14.04,21267.72,30.02,318,19.8,10,0,MORTGAGE,debt_consolidation,Source Verified,1
90225.47,36,7.3,164989.29,40.73,301,6.9,2,3,RENT,other,Not Verified,1
89273.21,48,19.63,33823.22,23.52,343,12.7,27,0,OWN,home_improvement,Verified,1
79088.18,24,10.66,94467.09,15.82,720,25.4,6,0,RENT,debt_consolidation,Not Verified,0
65993.01,12,27.39,142199.72,57.28,622,20.1,30,0,MORTGAGE,debt_consolidation,Not Verified,0
12993.3,36,24.59,62623.57,36.21,321,22.0,17,0,MORTGAGE,other,Source Verified,1
20354.73,24,22.49,35113.26,56.04,568,17.6,5,0,RENT,car,Source Verified,1
90362.65,24,20.42,158603.82,12.2,692,13.5,5,0,MORTGAGE,debt_consolidation,Verified,0
62610.76,36,26.59,133431.52,8.81,778,22.8,15,4,RENT,home_improvement,Source Verified,0
5873.72,12,10.58,197928.29,51.35,814,2.0,15,2,MORTGAGE,home_improvement,Not Verified,0
14639.8,12,26.83,81975.45,40.86,480,20.2,20,0,OWN,debt_consolidation,Verified,1
68032.67,60,24.74,31117.23,11.19,375,29.9,11,2,MORTGAGE,debt_consolidation,Not Verified,1
5480.85,48,23.7,152183.01,16.16,430,23.4,5,0,OWN,home_improvement,Source Verified,0
20276.76,36,19.03,113912.02,48.04,727,8.7,28,1,RENT,debt_consolidation,Verified,0
57129.71,36,11.16,58376.71,27.23,834,8.3,1,0,MORTGAGE,debt_consolidation,Verified,0
70730.04,36,15.59,160711.22,40.23,557,20.0,11,0,MORTGAGE,car,Source Verified,0
66936.32,12,24.84,56675.99,19.1,468,26.9,11,3,MORTGAGE,home_improvement,Verified,0
26305.58,48,5.79,66919.1,22.87,536,17.3,6,0,MORTGAGE,debt_consolidation,Not Verified,0
72657.03,60,24.55,36655.14,59.44,468,15.8,23,2,MORTGAGE,debt_consolidation,Not Verified,1
27538.66,24,11.0,91897.81,14.86,441,4.8,8,0,RENT,home_improvement,Source Verified,0
35912.97,24,8.61,95407.26,30.39,627,21.5,2,0,RENT,home_improvement,Verified,0
75916.68,36,7.89,112621.12,50.66,309,21.1,15,2,MORTGAGE,home_improvement,Source Verified,1
66715.13,48,5.68,147613.57,14.35,443,29.0,23,1,MORTGAGE,debt_consolidation,Source Verified,0
85676.22,12,18.09,183098.17,24.91,664,9.0,22,0,MORTGAGE,home_improvement,Verified,0
67473.22,48,10.46,44792.14,36.91,318,22.7,9,0,MORTGAGE,other,Source Verified,1
58989.32,48,29.74,29782.66,28.87,346,13.0,15,0,MORTGAGE,debt_consolidation,Not Verified,1
13899.1,12,19.36,23335.62,27.57,461,16.8,8,5,MORTGAGE,debt_consolidation,Verified,1
39933.0,36,8.45,45851.85,21.75,783,24.5,30,1,RENT,car,Source Verified,0
30194.22,48,22.22,138430.91,35.2,721,6.7,16,0,RENT,debt_consolidation,Not Verified,0
28179.02,24,27.44,150945.87,37.46,312,10.3,27,3,MORTGAGE,debt_consolidation,Verified,1
97436.0,12,23.63,161571.03,39.2,576,23.2,14,0,MORTGAGE,debt_consolidation,Not Verified,0
42344.28,60,6.91,63867.48,4.22,451,17.1,15,0,MORTGAGE,debt_consolidation,Source Verified,0
89744.42,36,27.4,75061.07,37.86,657,2.8,20,0,RENT,debt_consolidation,Verified,1
64958.17,12,24.85,106964.24,57.19,697,12.9,30,1,MORTGAGE,debt_consolidation,Verified,0
80507.07,60,8.96,31372.96,32.46,775,17.6,13,0,MORTGAGE,other,Verified,0
52750.52,60,6.29,130005.47,42.92,561,27.3,9,1,MORTGAGE,home_improvement,Verified,0
59805.87,48,18.93,197072.31,33.4,847,5.7,1,3,RENT,home_improvement,Verified,0
51789.18,48,8.9,84945.14,51.28,839,24.2,27,0,MORTGAGE,debt_consolidation,Verified,0
23548.08,48,25.86,155512.55,55.77,785,3.9,6,0,MORTGAGE,home_improvement,Verified,0
73632.95,12,13.96,110006.1,11.05,616,7.3,8,0,MORTGAGE,debt_consolidation,Source Verified,0
31673.37,12,27.82,43006.13,26.21,519,7.3,27,1,MORTGAGE,car,Not Verified,1
7310.02,36,19.14,124802.74,23.54,500,26.3,27,4,MORTGAGE,car,Not Verified,0
66319.87,48,9.57,73977.37,24.31,307,6.0,20,0,RENT,home_improvement,Source Verified,1
21825.51,60,8.49,26192.58,7.53,437,23.6,18,0,RENT,home_improvement,Not Verified,0
94343.57,24,19.41,134287.35,48.82,695,13.9,27,0,MORTGAGE,car,Verified,0
95623.21,36,24.05,174607.82,2.15,632,30.0,18,0,RENT,home_improvement,Verified,0
91912.12,12,24.54,82058.56,31.69,804,25.2,26,1,MORTGAGE,debt_consolidation,Verified,0
40165.08,36,11.89,90253.2,39.71,328,22.2,17,0,RENT,debt_consolidation,Not Verified,0
6468.38,36,10.11,180383.9,12.45,385,26.1,21,0,RENT,other,Not Verified,0
93190.26,36,5.42,166449.59,54.35,734,19.0,16,1,MORTGAGE,debt_consolidation,Source Verified,0
45677.49,36,21.98,148691.51,50.31,497,25.3,13,0,OWN,car,Source Verified,0
96832.21,24,6.91,64783.47,28.27,365,7.8,22,1,MORTGAGE,debt_consolidation,Source Verified,0
96543.9,48,15.52,183839.0,24.67,848,2.9,4,0,MORTGAGE,debt_consolidation,Verified,0
86035.9,60,20.04,47794.84,14.19,733,18.5,4,5,OWN,home_improvement,Source Verified,0
32972.64,36,28.43,132818.69,43.8,525,13.0,21,0,MORTGAGE,debt_consolidation,Source Verified,0
41584.28,36,12.8,25184.21,7.9,753,12.8,14,4,OWN,car,Verified,0
85857.98,36,11.24,135869.57,40.81,674,15.8,5,0,RENT,home_improvement,Verified,0
35107.59,48,21.35,69885.98,50.55,734,10.8,16,2,OWN,home_improvement,Not Verified,0
21101.81,12,20.48,100941.86,13.71,748,18.8,14,0,OWN,home_improvement,Source Verified,0
57896.12,12,13.3,82147.62,51.99,347,0.9,30,1,MORTGAGE,debt_consolidation,Verified,1
93934.7,24,28.2,51096.22,2.0,643,29.1,14,0,MORTGAGE,debt_consolidation,Source Verified,0
71122.83,12,26.12,131956.54,54.77,304,27.7,14,1,RENT,debt_consolidation,Not Verified,1
59155.81,36,10.6,178755.6,7.1,324,28.1,25,1,MORTGAGE,debt_consolidation,Source Verified,0
14231.77,36,10.98,192635.16,38.75,797,11.0,24,1,MORTGAGE,other,Verified,0
63425.69,36,17.81,54622.35,15.0,590,16.0,25,1,MORTGAGE,home_improvement,Source Verified,0
99055.12,24,24.34,149127.1,50.19,705,28.6,29,0,RENT,car,Source Verified,0
18307.98,36,6.1,139581.09,30.74,761,27.1,14,0,MORTGAGE,home_improvement,Verified,0
54241.32,12,22.33,81808.0,8.11,822,23.7,19,1,RENT,debt_consolidation,Verified,0
88350.44,48,21.21,23437.86,34.26,778,12.2,30,0,MORTGAGE,home_improvement,Source Verified,1
75373.02,48,10.79,144162.42,24.47,566,16.9,3,0,MORTGAGE,car,Source Verified,0
71216.5,60,22.03,190189.07,39.69,485,23.8,17,0,RENT,debt_consolidation,Verified,0
71735.99,12,28.5,133781.62,52.91,385,8.2,14,0,RENT,car,Source Verified,1
39151.66,36,6.17,98352.69,24.56,520,18.8,10,1,RENT,home_improvement,Not Verified,0
32891.23,48,12.99,114527.7,17.39,502,24.8,13,1,RENT,debt_consolidation,Not Verified,0
81889.31,12,15.95,55933.19,0.87,608,21.2,22,4,RENT,home_improvement,Source Verified,0
81960.77,48,27.48,155097.95,34.49,666,14.4,4,0,MORTGAGE,debt_consolidation,Source Verified,0
87371.87,36,29.06,154355.57,24.14,838,17.5,11,4,RENT,debt_consolidation,Not Verified,0
91757.85,48,16.1,46193.11,22.48,701,29.7,15,1,RENT,car,Not Verified,0
53577.53,60,23.75,178036.11,10.98,654,18.1,15,4,RENT,other,Not Verified,0
52644.05,60,18.29,68454.15,25.8,484,23.6,30,3,RENT,car,Verified,0
80838.04,48,18.44,196806.09,59.07,319,21.8,24,1,RENT,car,Verified,1
66746.57,12,11.95,88922.54,17.87,458,21.0,2,0,MORTGAGE,other,Not Verified,0
71686.85,12,10.42,52019.13,35.98,723,21.5,11,0,OWN,other,Not Verified,0
80600.3,12,12.2,83309.62,46.59,413,13.6,2,0,MORTGAGE,debt_consolidation,Source Verified,1
89550.51,48,18.91,99232.46,44.95,692,14.2,23,5,RENT,home_improvement,Not Verified,1
37109.54,12,5.73,32475.4,19.73,619,14.0,29,5,MORTGAGE,debt_consolidation,Not Verified,0
40680.38,36,27.68,124079.31,36.65,395,1.0,5,2,OWN,home_improvement,Source Verified,1
